track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
1C84d9abZVKWHT2YYpoean,"Luis R Conriquez, Neton Vega",Si No Quieres No,Si No Quieres No,85,147011,False,0.786,0.786,4,-6.372,0,0.0512,0.445,2.12e-06,0.0947,0.611,100.123,1,Latin
3fJHbMUnzceimOnNjp63fF,Carin Leon,Colmillo De Leche,Primera Cita,82,186455,False,0.536,0.396,10,-7.804,1,0.0687,0.604,6.97e-05,0.0969,0.491,157.846,3,Latin
1Hs1uUl8o2VtDp1DABFq0O,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",Los del Espacio,Los del Espacio,73,338000,False,0.813,0.682,0,-3.598,1,0.0402,0.107,0.0,0.108,0.634,120.011,4,Latin
54zcJnb3tp9c5OVKREZ1Is,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),MI EX TENÍA RAZÓN,82,154374,False,0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,4,Latin
6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Columbia,81,186000,False,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,4,Latin
3Cx4BsDd4q0GCVBJ5CAw2K,"Gaby Music, Lunay, Luar La L",No Te Quieren Conmigo,No Te Quieren Conmigo,72,252040,False,0.76,0.646,6,-5.009,1,0.068,0.361,0.000109,0.254,0.576,97.917,4,Latin
4oowI6IgJp9oqUnJewTp6Y,"Tito Double P, Neton Vega",LINDA,LINDA,78,224210,True,0.911,0.761,6,-6.712,0,0.0507,0.135,3.48e-05,0.163,0.948,124.983,4,Latin
6irysuQyZWd7Bjj7ePiOs2,JHAYCO,Holanda,Holanda,70,231693,True,0.831,0.759,1,-3.627,0,0.0502,0.277,0.0,0.125,0.244,107.961,4,Latin
1emJPywtseFLmLCcPY92dW,"Dei V, Cris Mj",Quién es Dei V?,Rapido (with Cris Mj),76,146000,True,0.719,0.799,2,-4.641,1,0.0454,0.0467,2.73e-06,0.155,0.597,95.021,4,Latin
6uIIdjYTxxpWOyWuVXrKQO,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Que Onda,83,191466,True,0.808,0.944,10,-4.863,0,0.0408,0.183,1.11e-06,0.138,0.937,124.934,3,Latin
7x9aauaA9cu6tyfpHnqDLo,"Jung Kook, Latto",Seven (feat. Latto),Seven (feat. Latto),80,184400,True,0.788,0.841,11,-3.955,1,0.0432,0.301,0.0,0.0772,0.904,124.986,4,K-pop
4gXHG9domIKO6FIViDISA4,FIFTY FIFTY,The Beginning,Cupid (Twin Ver.) - Live Studio Version OT4,75,174116,False,0.775,0.646,11,-5.72,0,0.0314,0.321,0.000157,0.255,0.724,120.001,4,K-pop
3Ua0m0YmEjrMi9XErKcNiR,Jimin,FACE,Like Crazy,75,212241,False,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,120.001,4,K-pop
65FftemJ1DbbZ45DUfHJXE,NewJeans,NewJeans 'OMG',OMG,77,212253,False,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4,K-pop
3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,Ditto,77,185506,False,0.814,0.641,6,-5.957,0,0.111,0.027,0.0,0.0993,0.183,133.854,4,K-pop
5sdQOyqq2IDhvmx2lHOpwd,NewJeans,NewJeans 'Super Shy',Super Shy,78,154666,False,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,4,K-pop
45OX2jjEw1l7lOFJfDP9fv,LISA,LALISA,MONEY,69,168227,False,0.826,0.553,1,-10.121,0,0.234,0.163,4.12e-05,0.135,0.4,140.037,4,K-pop
0bC7GKnxh9W9JIvJ6HVWxc,JISOO,ME,FLOWER,74,174216,False,0.843,0.389,9,-7.664,0,0.036,0.032,5.25e-06,0.109,0.635,123.967,4,K-pop
6tCd8bPvYnceDG7W9M1RMk,BLACKPINK,BORN PINK,Shut Down,69,175889,False,0.813,0.657,0,-6.447,1,0.0372,0.00269,0.0,0.183,0.651,110.053,3,K-pop
0a4MMyCrzT0En247IhqZbD,NewJeans,NewJeans 1st EP 'New Jeans',Hype Boy,76,179026,False,0.593,0.935,4,-3.43,0,0.225,0.268,0.0,0.286,0.783,99.976,4,K-pop
5P3o95Jf0YBQRQ4j2XPpfC,BLACKPINK,BORN PINK,Pink Venom,69,186964,False,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4,K-pop
